Category,Particulars,FY2022-23,FY2023-24,FY2024-25
INCOME STATEMENT,Revenue from Operations,20281.57,21732.58,19869.35
INCOME STATEMENT,Other Income,1003.94,1182.55,1018.89
INCOME STATEMENT,Total Income,21285.51,22915.13,20888.24
INCOME STATEMENT,Expenditure on Operations,18727.60,20041.24,18385.20
INCOME STATEMENT,Employee Benefits Expense,187.16,184.18,182.98
INCOME STATEMENT,Finance Costs,581.37,568.49,539.51
INCOME STATEMENT,Depreciation and Amortisation,22.27,20.82,30.60
INCOME STATEMENT,Other Expenses,122.73,161.00,199.78
INCOME STATEMENT,Total Expenses,19641.13,20975.73,19338.07
INCOME STATEMENT,EBIT (PBT + Finance Costs),2225.75,2507.89,2089.68
INCOME STATEMENT,EBITDA (EBIT + Depreciation),2248.02,2528.71,2120.28
INCOME STATEMENT,Profit Before Tax (PBT),1644.38,1939.40,1550.17
INCOME STATEMENT,Current Tax,381.40,482.17,395.43
INCOME STATEMENT,Deferred Tax,(0.75),(0.37),(33.92)
INCOME STATEMENT,Total Tax Expense,376.42,476.45,361.55
INCOME STATEMENT,Profit After Tax (PAT),1267.97,1462.95,1188.62
INCOME STATEMENT,Other Comprehensive Income,0.91,0.24,7.77
INCOME STATEMENT,Total Comprehensive Income,1268.88,1463.19,1196.39
INCOME STATEMENT,Basic EPS (Rs.),6.08,7.02,5.70
INCOME STATEMENT,Diluted EPS (Rs.),6.08,7.02,5.70
INCOME STATEMENT,Dividend per Share (Rs.),2.13,2.11,1.72
INCOME STATEMENT,Total Dividend Paid (Rs. Cr),444.11,439.94,358.62
BALANCE SHEET - ASSETS,Property Plant and Equipment,26.48,28.62,537.21
BALANCE SHEET - ASSETS,Right-of-Use Assets,313.39,328.88,346.13
BALANCE SHEET - ASSETS,Capital Work in Progress,1.27,93.79,0.32
BALANCE SHEET - ASSETS,Investment Property,0.00,0.00,140.14
BALANCE SHEET - ASSETS,Other Intangible Assets,14.73,8.86,3.32
BALANCE SHEET - ASSETS,Investments (Non-Current),1186.64,1610.75,1764.13
BALANCE SHEET - ASSETS,Lease Receivables (Non-Current),4964.36,4492.36,3992.85
BALANCE SHEET - ASSETS,Loans (Non-Current),4.87,4.07,4.72
BALANCE SHEET - ASSETS,Other Financial Assets (Non-Current),1799.67,2005.99,1177.53
BALANCE SHEET - ASSETS,Deferred Tax Assets (Net),13.69,13.98,45.29
BALANCE SHEET - ASSETS,Other Non-Current Assets,255.99,479.63,0.38
BALANCE SHEET - ASSETS,Total Non-Current Assets,8581.09,9066.93,8012.02
BALANCE SHEET - ASSETS,Project Work-in-Progress,58.93,64.72,0.00
BALANCE SHEET - ASSETS,Trade Receivables,969.30,1106.48,1489.51
BALANCE SHEET - ASSETS,Lease Receivables (Current),377.28,472.00,499.51
BALANCE SHEET - ASSETS,Cash and Cash Equivalents,807.53,1027.49,3044.80
BALANCE SHEET - ASSETS,Bank Balances (Other than Cash),1001.94,1969.64,718.44
BALANCE SHEET - ASSETS,Loans (Current),4.13,29.15,2.28
BALANCE SHEET - ASSETS,Other Current Financial Assets,2596.42,1958.21,2584.18
BALANCE SHEET - ASSETS,Current Tax Asset (Net),11.58,0.00,58.65
BALANCE SHEET - ASSETS,Other Current Assets,3173.25,3038.91,3075.13
BALANCE SHEET - ASSETS,Total Current Assets,9000.36,9666.60,11472.50
BALANCE SHEET - ASSETS,Total Assets,17581.45,18733.53,19484.52
BALANCE SHEET - EQUITY,Equity Share Capital,2085.02,2085.02,2085.02
BALANCE SHEET - EQUITY,Other Equity (Reserves and Surplus),4394.13,5782.26,6538.70
BALANCE SHEET - EQUITY,Total Equity,6479.15,7867.28,8623.72
BALANCE SHEET - LIABILITIES,NC Borrowings (IRFC Loans),6030.58,5515.77,4889.51
BALANCE SHEET - LIABILITIES,Lease Liabilities (Non-Current),11.15,27.85,12.03
BALANCE SHEET - LIABILITIES,Other Financial Liabilities (NC),521.92,706.46,322.04
BALANCE SHEET - LIABILITIES,Provisions (Non-Current),31.70,15.46,28.92
BALANCE SHEET - LIABILITIES,Other Non-Current Liabilities,59.60,17.21,0.00
BALANCE SHEET - LIABILITIES,Total Non-Current Liabilities,6654.95,6282.75,5252.50
BALANCE SHEET - LIABILITIES,Short-Term Borrowings,377.29,472.00,499.51
BALANCE SHEET - LIABILITIES,Lease Liabilities (Current),22.32,16.91,18.31
BALANCE SHEET - LIABILITIES,Trade Payables (MSME),34.61,4.10,2.52
BALANCE SHEET - LIABILITIES,Trade Payables (Others),591.68,248.30,342.35
BALANCE SHEET - LIABILITIES,Trade Payables (Total),626.29,252.40,344.87
BALANCE SHEET - LIABILITIES,Other Current Financial Liabilities,1929.31,1472.29,2228.35
BALANCE SHEET - LIABILITIES,Other Current Liabilities,1463.90,2320.10,2416.93
BALANCE SHEET - LIABILITIES,Provisions (Current),28.24,38.65,100.33
BALANCE SHEET - LIABILITIES,Current Tax Liabilities (Net),0.00,11.15,0.00
BALANCE SHEET - LIABILITIES,Total Current Liabilities,4447.35,4583.50,5608.30
BALANCE SHEET - LIABILITIES,Total Equity and Liabilities,17581.45,18733.53,19484.52
CASH FLOW,Net Cash from Operating Activities (CFO),(4080.06),2939.27,1919.90
CASH FLOW,Net Cash from Investing Activities (CFI),1353.66,(1431.35),1581.62
CASH FLOW,Net Cash from Financing Activities (CFF),(1036.01),(1286.56),(1484.17)
CASH FLOW,Net Change in Cash,(3762.40),219.96,2017.31
CASH FLOW,Opening Cash and Cash Equivalents,4569.93,807.53,1027.49
CASH FLOW,Closing Cash and Cash Equivalents,807.53,1027.49,3044.80
CASH FLOW,Income Taxes Paid (Net),387.49,453.73,462.66
CASH FLOW,Interest Paid,309.11,441.52,550.19
CASH FLOW,Interest Received,214.67,310.97,880.27
CASH FLOW,Dividend Received,9.68,0.00,25.05
CASH FLOW,Dividend Paid,421.17,443.93,439.94
DERIVED METRICS,Total Debt (NC + ST Borrowings),6407.87,5987.77,5389.02
DERIVED METRICS,Net Debt (Total Debt minus Cash),5600.34,4960.28,2344.22
DERIVED METRICS,Capital Employed (Total Assets minus CL),13134.10,14150.03,13876.22
DERIVED METRICS,Gross Profit (Rev minus Exp on Ops),1553.97,1691.34,1484.15
DERIVED METRICS,Average Total Assets (for ROA),17581.45,18157.49,19109.03
DERIVED METRICS,Average Equity (for ROE),6479.15,7173.22,8245.50
PROFITABILITY RATIOS,Gross Profit Margin,7.66%,7.78%,7.47%
PROFITABILITY RATIOS,EBIT Margin (Operating Margin),10.97%,11.54%,10.52%
PROFITABILITY RATIOS,EBITDA Margin,11.08%,11.63%,10.67%
PROFITABILITY RATIOS,Net Profit Margin (PAT Margin),6.25%,6.73%,5.98%
PROFITABILITY RATIOS,Return on Equity (ROE),19.57%,20.40%,14.41%
PROFITABILITY RATIOS,Return on Assets (ROA),7.21%,8.06%,6.22%
PROFITABILITY RATIOS,Return on Capital Employed (ROCE),16.95%,17.73%,15.06%
LIQUIDITY RATIOS,Current Ratio,2.02x,2.11x,2.04x
LIQUIDITY RATIOS,Quick Ratio (CA minus Other CA / CL),1.31x,1.44x,1.50x
LIQUIDITY RATIOS,Cash Ratio,0.18x,0.22x,0.54x
LIQUIDITY RATIOS,Net Working Capital (Rs. Cr),4553.01,5083.10,5864.20
LIQUIDITY RATIOS,Operating Cash Flow Ratio,(0.92x),0.64x,0.34x
LEVERAGE RATIOS,Debt-to-Equity Ratio,0.99x,0.76x,0.62x
LEVERAGE RATIOS,Debt-to-Assets Ratio,0.36x,0.32x,0.28x
LEVERAGE RATIOS,Interest Coverage Ratio (EBIT / Finance Costs),3.83x,4.41x,3.87x
LEVERAGE RATIOS,Net Debt to EBITDA,2.49x,1.96x,1.11x
LEVERAGE RATIOS,Equity Multiplier (Total Assets / Equity),2.71x,2.38x,2.26x
EFFICIENCY RATIOS,Asset Turnover Ratio,1.15x,1.20x,1.04x
EFFICIENCY RATIOS,Trade Receivable Days (Debtor Days),17.44,18.57,27.37
EFFICIENCY RATIOS,Trade Payable Days (Creditor Days),12.20,4.60,6.85
EFFICIENCY RATIOS,Working Capital Turnover,4.46x,4.28x,3.39x
EFFICIENCY RATIOS,Equity Turnover,3.13x,2.76x,2.30x
